web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,424,424,,781264,0.0,Résidence Alcyon Biblos,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,671,671,,783374,0.0,Résidence Gentianes,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,412,412,,781254,0.0,Résidence Le Bois Gentil,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,518,518,,781194,0.0,Résidence Ours Blanc,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,624,624,,781104,0.0,Résidence La Ferme Des Riffroids,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,671,671,,783334,0.0,Résidence Eden Roc,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,860,860,,783094,0.0,Résidence Les Balcons A,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,701,701,,783424,0.0,Résidence Belmont,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,448,448,,781164,0.0,Résidence Mont-fernuy,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,595,595,,783384,0.0,Chalet Gord,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,889,889,,783194,0.0,Résidence Hamster,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,642,642,,783284,0.0,Résidence Coq De Bruyere,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,542,542,,781234,0.0,Résidence Domanial,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,389,389,,783274,0.0,Résidence Balme 1,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,430,430,,783364,0.0,Résidence Reine Des Alpes,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,436,436,,781274,0.0,Résidence Parnasse 1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,336,336,,776244,0.0,Résidence Aiguille Verte,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,665,665,,713864,4.4,Résidence Les Grandes Alpes,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,465,465,,782644,0.0,Résidence Les Etages Bat N°1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,08/07/2023,14/07/2023,507,507,,782834,0.0,Résidence Pre Vincent A,La Clusaz - Haute Savoie,,27,"('38',)",LA CLUSAZ
,14/04/2023,08/07/2023,14/07/2023,857,857,,782084,0.0,Résidence Parnasse 1,La Clusaz - Haute Savoie,,27,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,529,529,,782554,4.0,Résidence Bison,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
